No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"153","532843","Fortis Healthcare Limited","686.97B","896.60","-1.69%","84.37B"
"154","506395","Coromandel International Limited","684.86B","2,322.10","0.05%","286.20B"
"155","532779","Torrent Power Limited","684.15B","1,357.40","0.94%","287.38B"
"156","532539","Uno Minda Limited","683.10B","1,183.90","-0.72%","180.15B"
"157","524804","Aurobindo Pharma Limited","681.11B","1,172.30","-0.67%","325.14B"
"158","522275","GE Vernova T&D India Limited","671.16B","2,621.25","-6.27%","50.95B"
"159","532508","Jindal Stainless Limited","670.40B","813.10","2.54%","412.06B"
"160","512070","UPL Limited","667.99B","791.05","1.36%","477.15B"
"161","890209","UPL Limited","667.99B","516.50","-2.64%","477.15B"
"162","500469","The Federal Bank Limited","665.39B","270.35","9.50%","140.97B"
"163","503100","The Phoenix Mills Limited","664.78B","1,859.00","-0.46%","39.66B"
"164","532667","Suzlon Energy Limited","664.39B","48.50","-1.04%","137.25B"
"165","532234","National Aluminium Company Limited","664.13B","361.50","-3.19%","180.29B"
"166","533274","Prestige Estates Projects Limited","656.09B","1,523.60","1.72%","79.22B"
"167","540699","Dixon Technologies (India) Limited","651.28B","10,732.6","-3.32%","484.37B"
"168","512455","Lloyds Metals and Energy Limited","650.36B","1,229.20","-0.90%","89.03B"
"169","544429","HDB Financial Services Limited","635.64B","765.20","0.06%","84.25B"
"170","540755","General Insurance Corporation of India","631.67B","359.80","-1.36%","516.37B"
"171","534091","Multi Commodity Exchange of India Limited","623.71B","2,445.00","1.12%","14.39B"
"172","500113","Steel Authority of India Limited","616.98B","149.25","-2.07%","1.06T"
"173","532523","Biocon Limited","611.18B","377.55","-0.40%","164.76B"
"174","509480","Berger Paints India Limited","606.09B","519.85","-0.92%","117.07B"
"175","500290","MRF Limited","605.80B","142,871","-1.91%","291.48B"
"176","544307","Vishal Mega Mart Limited","605.34B","129.30","-0.62%","118.06B"
"177","533273","Oberoi Realty Limited","605.22B","1,664.35","1.03%","53.28B"
"178","542066","Adani Total Gas Limited","601.32B","546.20","-1.51%","54.66B"
"179","505790","Schaeffler India Limited","599.27B","3,834.00","0.70%","90.98B"
"180","500488","Abbott India Limited","590.24B","27,777.0","-0.44%","67.14B"
"181","540222","Laurus Labs Limited","581.32B","1,076.35","-1.35%","63.58B"
"182","532541","Coforge Limited","580.39B","1,732.20","3.00%","143.42B"
"183","500830","Colgate-Palmolive (India) Limited","571.75B","2,102.15","0.45%","58.78B"
"184","533150","Godrej Properties Limited","568.98B","1,888.95","0.92%","42.66B"
"185","532296","Glenmark Pharmaceuticals Limited","567.59B","2,000.60","-0.54%","159.97B"
"186","500368","Patanjali Foods Limited","567.41B","521.55","-4.11%","374.71B"
"187","500271","Max Financial Services Limited","566.38B","1,649.70","0.10%","475.21B"
"188","590071","Sundaram Finance Limited","564.69B","5,081.35","0.60%","42.11B"
"189","540767","Nippon Life India Asset Management Limited","562.17B","881.20","1.94%","26.40B"
"190","541143","Bharat Dynamics Limited","555.86B","1,516.25","0.23%","40.04B"
"191","526299","Mphasis Limited","550.10B","2,886.80","3.43%","149.06B"
"192","513599","Hindustan Copper Limited","542.94B","561.45","-1.94%","22.94B"
"193","590024","The Fertilisers and Chemicals Travancore Limited","539.46B","833.60","-2.15%","46.75B"
"194","533758","APL Apollo Tubes Limited","538.56B","1,939.80","0.25%","213.26B"
"195","543994","JSW Infrastructure Limited","535.99B","257.65","-2.15%","51.22B"
"196","539177","Authum Investment & Infrastructure Limited","535.86B","631.00","-5.50%","35.99B"
"197","523457","Linde India Limited","520.66B","6,105.05","0.58%","24.13B"
"198","532525","Bank of Maharashtra","511.72B","66.57","1.02%","131.26B"
"199","532892","Motilal Oswal Financial Services Limited","511.53B","851.05","-1.18%","65.32B"
"200","542830","Indian Railway Catering & Tourism Corporation Limited","502.12B","627.80","0.04%","47.99B"
"201","500483","Tata Communications Limited","500.06B","1,753.10","-0.18%","238.48B"
"202","523642","PI Industries Limited","496.18B","3,270.75","-0.38%","74.61B"
"203","532720","Mahindra & Mahindra Financial Services Limited","494.86B","356.35","0.49%","86.44B"
"204","542772","360 One Wam Limited","485.39B","1,196.30","3.85%","42.29B"
"205","543278","Kalyan Jewellers India Limited","482.77B","467.50","-2.74%","285.84B"
"206","502355","Balkrishna Industries Limited","473.22B","2,447.90","0.93%","104.66B"
"207","500575","Voltas Limited","467.01B","1,410.95","-1.99%","141.59B"
"208","532644","J.K. Cement Limited","455.30B","5,892.45","3.45%","128.83B"
"209","540762","Tube Investments of India Limited","453.32B","2,355.15","-1.28%","202.56B"
"210","544362","Hexaware Technologies Limited","451.23B","738.00","3.56%","131.07B"
"211","509930","The Supreme Industries Limited","443.22B","3,486.10","-0.01%","105.40B"
"212","540530","Housing and Urban Development Corporation Limited","430.95B","215.25","-0.72%","43.55B"
"213","544597","Piramal Finance Limited","430.91B","1,902.00","4.03%","44.03B"
"214","532522","Petronet LNG Limited","426.98B","284.40","-0.65%","474.32B"
"215","542602","Embassy Office Parks REIT","426.25B","448.99","2.28%","43.76B"
"216","517569","KEI Industries Limited","418.86B","4,381.35","-0.10%","107.04B"
"217","540115","L&T Technology Services Limited","415.17B","3,919.50","-7.67%","117.52B"
"218","500495","Escorts Kubota Limited","411.53B","3,677.80","-0.36%","106.85B"
"219","542216","Dalmia Bharat Limited","405.59B","2,162.15","-0.69%","143.25B"
"220","532478","United Breweries Limited","402.24B","1,521.30","0.14%","92.40B"
"221","540678","Cochin Shipyard Limited","401.62B","1,526.55","-0.52%","50.93B"
"222","500660","GlaxoSmithKline Pharmaceuticals Limited","397.88B","2,348.70","-1.85%","37.09B"
"223","500459","Procter & Gamble Hygiene and Health Care Limited","397.42B","12,243.1","-0.91%","43.26B"
"224","523395","3M India Limited","397.36B","35,273.9","-0.25%","47.51B"
"225","531344","Container Corporation of India Limited","395.81B","519.75","0.04%","90.04B"
"226","532830","Astral Limited","393.38B","1,462.45","0.01%","60.17B"
"227","539551","Narayana Hrudayalaya Limited","389.30B","1,918.80","-1.37%","59.61B"
"228","544325","ITC Hotels Limited","389.29B","187.00","-2.60%","37.31B"
"229","532497","Radico Khaitan Limited","387.10B","2,891.80","-0.50%","55.98B"
"230","532827","Page Industries Limited","383.30B","34,363.0","0.14%","50.19B"
"231","524494","Ipca Laboratories Limited","383.07B","1,509.00","-0.47%","93.59B"
"232","544026","Indian Renewable Energy Development Agency Limited","382.87B","136.30","-1.34%","25.84B"
"233","524000","Poonawalla Fincorp Limited","377.02B","464.00","-1.50%","25.07B"
"234","542812","Gujarat Fluorochemicals Limited","375.09B","3,410.95","0.17%","48.64B"
"235","532505","UCO Bank","371.92B","29.69","0.99%","120.15B"
"236","500067","Blue Star Limited","371.06B","1,811.95","1.08%","122.31B"
"237","532683","AIA Engineering Limited","368.43B","3,950.45","-2.66%","43.10B"
"238","544609","Physicswallah Limited","363.87B","127.15","-3.12%","33.23B"
"239","513683","NLC India Limited","356.71B","257.25","-1.21%","162.51B"
"240","540153","Endurance Technologies Limited","355.31B","2,525.95","0.39%","127.24B"
"241","500163","Godfrey Phillips India Limited","349.87B","2,243.00","0.67%","59.37B"
"242","500408","Tata Elxsi Limited","349.63B","5,612.40","2.01%","37.03B"
"243","532885","Central Bank of India","349.20B","38.57","0.76%","171.39B"
"244","500092","CRISIL Limited","347.22B","4,740.20","-0.62%","34.80B"
"245","544449","Anthem Biosciences Limited","346.46B","615.55","-1.13%","20.77B"
"246","533155","Jubilant FoodWorks Limited","345.86B","527.35","-0.38%","88.55B"
"247","500164","Godrej Industries Limited","342.14B","1,015.85","1.34%","225.81B"
"248","544238","Premier Energies Limited","335.08B","739.60","1.32%","69.92B"
"249","532331","Ajanta Pharma Limited","334.81B","2,680.35","-0.96%","49.73B"
"250","500411","Thermax Limited","334.57B","2,970.20","-0.01%","102.26B"
"251","501301","Tata Investment Corporation Limited","333.27B","658.70","-0.76%","3.21B"
"252","504973","Cholamandalam Financial Holdings Limited","332.80B","1,771.55","-2.21%","196.63B"
"253","500410","ACC Limited","329.68B","1,753.45","1.48%","239.48B"
"254","542651","KPIT Technologies Limited","322.99B","1,189.40","0.89%","61.33B"
"255","500877","Apollo Tyres Limited","322.98B","509.00","-3.59%","267.43B"
"256","532504","Navin Fluorine International Limited","315.40B","6,155.05","2.11%","27.91B"
"257","540975","Aster DM Healthcare Limited","309.78B","599.60","-1.38%","43.25B"
"258","543654","Global Health Limited","307.55B","1,144.40","-1.65%","40.05B"
"259","544179","Go Digit General Insurance Limited","301.01B","325.75","-0.87%","97.56B"
"260","543498","Motherson Sumi Wiring India Limited","300.75B","45.38","-1.43%","100.17B"
"261","533206","SJVN Limited","300.51B","76.89","-2.28%","31.25B"
"262","517174","Honeywell Automation India Limited","300.45B","33,981.4","1.35%","45.38B"
"263","543529","Delhivery Limited","300.40B","401.55","-0.50%","94.23B"
"264","543217","Mindspace Business Parks REIT","298.85B","490.64","2.22%","29.11B"
"265","506943","J. B. Chemicals & Pharmaceuticals Limited","297.88B","1,901.55","0.39%","40.92B"
"266","532259","APAR Industries Limited","297.67B","7,413.45","-0.75%","207.46B"
"267","544210","Emcure Pharmaceuticals Limited","295.45B","1,559.05","-0.89%","84.49B"
"268","500253","LIC Housing Finance Limited","293.54B","533.55","-0.38%","84.63B"
"269","500086","Exide Industries Limited","292.70B","344.35","-0.32%","174.12B"
"270","544309","Inventurus Knowledge Solutions Limited","292.01B","1,699.85","-0.14%","29.02B"
"271","543426","Metro Brands Limited","290.66B","1,066.90","-2.81%","26.25B"
"272","523610","ITI Limited","290.28B","301.25","-1.15%","31.22B"
"273","532889","K.P.R. Mill Limited","286.24B","838.55","-2.30%","66.97B"
"274","543300","Sona BLW Precision Forgings Limited","286.05B","460.10","-0.35%","37.25B"
"275","520056","TVS Holdings Limited","285.20B","14,096.5","-0.40%","433.07B"
"276","539336","Gujarat Gas Limited","282.38B","410.30","-1.07%","159.06B"
"277","543245","Gland Pharma Limited","280.78B","1,704.25","-2.83%","58.01B"
"278","534309","NBCC (India) Limited","280.13B","103.75","-1.38%","129.42B"
"279","542011","Garden Reach Shipbuilders & Engineers Limited","277.69B","2,424.85","-0.26%","59.00B"
"280","543458","AWL Agri Business Limited","275.16B","212.65","-2.41%","697.32B"
"281","544606","Pine Labs Limited","271.76B","236.65","4.41%","24.66B"
"282","500033","Force Motors Limited","271.17B","20,580.4","0.48%","86.24B"
"283","532636","IIFL Finance Limited","269.37B","633.75","-0.19%","59.80B"
"284","539006","PTC Industries Limited","268.99B","17,941.6","-0.25%","4.11B"
"285","543988","Nuvama Wealth Management Limited","268.07B","1,474.65","2.91%","35.37B"
"286","533023","ZF Commercial Vehicle Control Systems India Limited","266.48B","14,056.6","0.33%","38.63B"
"287","500109","Mangalore Refinery and Petrochemicals Limited","265.61B","140.25","0.79%","895.19B"
"288","531213","Manappuram Finance Limited","265.40B","313.55","1.51%","35.18B"
"289","544028","Tata Technologies Limited","263.99B","650.40","0.58%","52.19B"
"290","507815","Gillette India Limited","260.54B","7,995.80","-0.47%","29.71B"
"291","543412","Star Health and Allied Insurance Company Limited","259.52B","440.75","-1.24%","159.74B"
"292","543261","Brookfield India Real Estate Trust","259.29B","345.77","0.39%","25.96B"
"293","590003","The Karur Vysya Bank Limited","258.55B","267.40","0.24%","57.44B"
"294","543415","Anand Rathi Wealth Limited","256.72B","3,092.85","0.43%","11.39B"
"295","500260","The Ramco Cements Limited","253.28B","1,068.40","0.27%","86.93B"
"296","532514","Indraprastha Gas Limited","253.27B","180.70","-0.36%","156.55B"
"297","532947","IRB Infrastructure Developers Limited","250.62B","41.52","-0.58%","69.37B"
"298","540173","PNB Housing Finance Limited","250.48B","960.90","-1.50%","36.08B"
"299","543235","Angel One Limited","250.05B","2,756.00","9.14%","44.01B"
"300","544282","Sagility Limited","250.03B","53.50","4.29%","62.19B"
"301","539268","Syngene International Limited","249.65B","627.15","-0.45%","37.47B"
"302","543913","Nexus Select Trust","248.69B","164.19","0.87%","24.96B"
"303","500003","Aegis Logistics Limited","248.07B","706.65","-2.07%","74.25B"
"304","540769","The New India Assurance Company Limited","247.07B","149.90","0.13%","468.90B"
"305","543308","Krishna Institute of Medical Sciences Limited","245.79B","614.25","-1.45%","34.02B"
"306","542752","Affle 3i Limited","242.35B","1,721.95","-0.68%","24.71B"
"307","543664","Kaynes Technology India Limited","242.14B","3,613.60","-1.95%","32.25B"
"308","544407","Aegis Vopak Terminals Limited","241.12B","216.90","-3.90%","6.73B"
"309","515030","Asahi India Glass Limited","240.63B","943.90","-0.86%","46.84B"
"310","543374","Aditya Birla Sun Life AMC Limited","240.25B","831.95","2.93%","20.53B"
"311","500184","Himadri Speciality Chemical Limited","238.31B","472.35","0.32%","45.79B"
"312","544397","Ather Energy Limited","236.26B","619.00","-4.11%","28.55B"
"313","539524","Dr. Lal PathLabs Limited","233.59B","1,397.65","-0.83%","26.00B"
"314","541153","Bandhan Bank Limited","233.33B","144.75","-0.45%","81.86B"
"315","532300","Wockhardt Limited","231.97B","1,429.20","2.38%","30.07B"
"316","540680","KIOCL Limited","227.21B","374.10","-1.31%","6.60B"
"317","543299","Shyam Metalics and Energy Limited","227.06B","813.40","-2.65%","167.68B"
"318","532809","Firstsource Solutions Limited","225.80B","326.45","2.06%","87.94B"
"319","522113","Timken India Limited","225.49B","2,997.85","-1.74%","31.93B"
"320","517271","HBL Engineering Limited","221.12B","797.70","-9.17%","27.51B"
"321","543635","Piramal Pharma Limited","220.80B","166.35","-1.04%","89.36B"
"322","531162","Emami Limited","220.63B","505.45","0.64%","37.15B"
"323","500680","Pfizer Limited","217.80B","4,757.40","-1.28%","23.75B"
"324","532927","eClerx Services Limited","217.36B","4,633.40","0.89%","36.92B"
"325","540902","Amber Enterprises India Limited","216.13B","6,152.00","0.63%","109.83B"
"326","532733","Sun TV Network Limited","215.98B","547.65","-1.08%","43.92B"
"327","542920","Sumitomo Chemical India Limited","214.96B","431.00","0.08%","33.08B"
"328","500840","EIH Limited","213.16B","341.40","-1.14%","28.54B"
"329","544081","Jyoti CNC Automation Limited","210.15B","924.15","-0.74%","19.43B"
"330","506401","Deepak Nitrite Limited","209.52B","1,547.50","-1.05%","78.75B"
"331","544612","Tenneco Clean Air India Limited","209.43B","518.80","-2.68%","50.18B"
"332","541770","CreditAccess Grameen Limited","207.95B","1,299.15","1.10%","14.16B"
"333","500084","CESC Limited","206.43B","155.50","-1.08%","179.07B"
"334","506820","AstraZeneca Pharma India Limited","206.30B","8,251.95","-0.43%","20.06B"
"335","532805","Redington Limited","206.00B","263.55","-3.59%","1.08T"
"336","533295","Punjab & Sind Bank","205.63B","28.98","2.51%","46.00B"
"337","544467","National Securities Depository Limited","205.39B","1,026.95","-0.08%","15.64B"
"338","544176","Aadhar Housing Finance Limited","205.22B","473.00","-1.07%","20.48B"
"339","531531","Hatsun Agro Product Limited","205.13B","920.90","0.77%","92.38B"
"340","532929","Brigade Enterprises Limited","204.82B","837.70","-0.58%","55.89B"
"341","532210","City Union Bank Limited","202.59B","272.90","-1.32%","31.82B"
"342","544292","OneSource Specialty Pharma Limited","201.11B","1,754.10","-2.04%","15.22B"
"343","540065","RBL Bank Limited","200.33B","325.10","4.28%","79.46B"
"344","515055","Anant Raj Limited","198.53B","551.65","-0.23%","22.98B"
"345","532642","JSW Holdings Limited","198.49B","17,886.0","-3.47%","1.72B"
"346","540596","Eris Lifesciences Limited","197.91B","1,451.15","-1.42%","29.86B"
"347","506285","Bayer CropScience Limited","197.54B","4,395.40","-0.38%","55.72B"
