No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"139","300316","Zhejiang Jingsheng Mechanical & Electrical Co., Ltd.","55.04B","42.10","9.12%","11.37B"
"140","002851","Shenzhen Megmeet Electrical Co., LTD","53.69B","98.16","0.14%","9.06B"
"141","002812","Yunnan Energy New Material (Group) Co., Ltd.","53.46B","54.76","1.28%","12.24B"
"142","300255","Hebei Changshan Biochemical Pharmaceutical Co., Ltd.","53.40B","58.10","1.36%","928.01M"
"143","000066","China Greatwall Technology Group Co., Ltd.","53.27B","16.57","1.35%","14.89B"
"144","300759","Pharmaron Beijing Co., Ltd.","53.19B","31.94","-2.56%","13.54B"
"145","002465","Guangzhou Haige Communications Group Incorporated Company","53.09B","21.56","-10.02%","4.31B"
"146","300757","RoboTechnik Intelligent Technology Co., LTD","52.90B","315.60","8.77%","506.12M"
"147","000002","China Vanke Co., Ltd.","52.90B","4.730","-2.47%","284.67B"
"148","300919","CNGR Advanced Material Co., Ltd.","52.86B","54.27","-2.55%","43.36B"
"149","002422","Sichuan Kelun Pharmaceutical Co., Ltd.","50.94B","32.02","-2.08%","18.30B"
"150","300395","Hubei Feilihua Quartz Glass Co., Ltd.","50.35B","96.40","-1.08%","1.81B"
"151","300251","Beijing Enlight Media Co., Ltd","50.34B","17.16","-3.22%","3.76B"
"152","300347","Hangzhou Tigermed Consulting Co., Ltd","50.31B","60.72","-3.25%","6.56B"
"153","300413","Mango Excellent Media Co., Ltd.","49.27B","26.34","-4.46%","12.87B"
"154","301236","iSoftStone Information Technology (Group) Co., Ltd.","49.09B","51.51","-2.63%","34.49B"
"155","000547","Addsino Co., Ltd.","48.59B","30.40","1.20%","2.38B"
"156","002008","Han's Laser Technology Industry Group Co., Ltd.","48.56B","47.16","5.46%","17.36B"
"157","002945","ChinaLin Securities Co., Ltd","48.01B","17.78","-3.42%","1.57B"
"158","301550","Zhejiang Sling Automobile Bearing Co., Ltd.","47.73B","206.38","12.71%","798.69M"
