No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"3735","GXEA","Galapagos NV","1.93B","27.80","-","286.92M"
"3736","9HI","Hillenbrand, Inc.","1.93B","27.00","-","2.28B"
"3737","RSU","Super Retail Group Limited","1.93B","8.30","1.84%","2.27B"
"3738","1QJ","SoftwareOne Holding AG","1.93B","8.80","-","1.04B"
"3739","AB3A","Sarepta Therapeutics, Inc.","1.92B","18.13","-2.26%","2.06B"
"3740","F5M","Fuji Corporation","1.92B","20.60","0.98%","829.16M"
"3741","FLI","Flight Centre Travel Group Limited","1.92B","8.55","1.18%","1.55B"
"3742","HJN1","Koninklijke Heijmans N.V.","1.92B","67.20","-0.30%","2.68B"
"3743","TLYB","Tate & Lyle plc","1.92B","4.268","-0.47%","2.27B"
"3744","G0E","Bloks Group Limited","1.92B","7.56","-0.92%","301.04M"
"3745","68C","China Conch Venture Holdings Limited","1.91B","1.010","-","739.57M"
"3746","MABB","Mitchells & Butlers plc","1.91B","3.100","-0.64%","3.11B"
"3747","4H3A","HMS Networks AB (publ)","1.91B","37.14","1.59%","310.53M"
"3748","9JO0","Guaranty Trust Holding Company Plc","1.91B","0.0550","-12.70%","816.56M"
"3749","71N","Nissui Corporation","1.90B","6.20","0.81%","5.17B"
"3750","SHVA","Shoucheng Holdings Limited","1.90B","0.182","1.68%","152.99M"
"3751","TTA","Trinity Industries, Inc.","1.90B","23.40","-0.57%","1.85B"
"3752","59X","Keihan Holdings Co., Ltd.","1.90B","18.30","1.11%","1.73B"
"3753","2AH","Viva Energy Group Limited","1.89B","1.120","0.90%","17.15B"
"3754","SA8A","Sonic Automotive, Inc.","1.89B","55.00","-","12.94B"
"3755","1NN","Neinor Homes, S.A.","1.89B","19.40","0.10%","462.55M"
"3756","FBYN","First Busey Corporation","1.89B","19.80","2.06%","497.71M"
"3757","WXF","Hilltop Holdings Inc.","1.89B","30.80","0.65%","1.07B"
"3758","KRTA","Krungthai Card Public Company Limited","1.89B","0.630","2.44%","536.10M"
"3759","4LT1","Northern Oil and Gas, Inc.","1.89B","19.34","-0.34%","1.75B"
"3760","IZ6","AVI Limited","1.89B","5.65","1.80%","768.29M"
"3761","910","Appian Corporation","1.89B","28.97","-3.72%","588.73M"
"3762","PW9","Enerpac Tool Group Corp.","1.88B","34.20","0.59%","531.16M"
"3763","ELG","Elmos Semiconductor SE","1.88B","108.80","0.74%","559.08M"
"3764","3GU","nib holdings limited","1.87B","3.780","-1.56%","2.02B"
"3765","4TC","Coats Group plc","1.87B","0.950","1.06%","1.28B"
"3766","7VY","SWCC Corporation","1.87B","59.00","-1.79%","1.44B"
"3767","GUZA","Yuexiu Property Company Limited","1.86B","0.434","-1.33%","11.72B"
"3768","M8V","Marriott Vacations Worldwide Corporation","1.86B","54.00","-","2.86B"
"3769","KHP","Kohl's Corporation","1.86B","17.34","3.38%","13.66B"
"3770","CSN","CSG Systems International, Inc.","1.86B","68.00","0.74%","1.04B"
"3771","FU7","Shougang Fushan Resources Group Limited","1.86B","0.348","-0.57%","501.88M"
"3772","AQ6","Sumitomo Densetsu Co.,Ltd.","1.86B","51.47","0.35%","1.22B"
"3773","9BFA","Burford Capital Limited","1.85B","8.47","4.83%","397.29M"
"3774","EXM","Extreme Networks, Inc.","1.85B","13.32","1.45%","1.01B"
"3775","UN3","United Natural Foods, Inc.","1.85B","29.28","3.24%","27.53B"
"3776","OD3","Odfjell Drilling Ltd.","1.85B","7.74","-0.39%","733.15M"
"3777","C43","Cosmo Pharmaceuticals N.V.","1.85B","116.00","-1.70%","182.27M"
"3778","1PE","BW LPG Limited","1.85B","12.40","0.73%","3.15B"
"3779","COG","Cogeco Communications Inc.","1.84B","42.00","0.48%","1.78B"
"3780","15R","Magnite, Inc.","1.84B","14.08","-0.78%","598.80M"
"3781","OA2","ASGN Incorporated","1.84B","43.40","-","3.40B"
"3782","D8EN","DHT Holdings, Inc.","1.84B","10.19","-1.55%","459.02M"
"3783","WWG","Gelsenwasser AG","1.84B","535.00","-","3.36B"
"3784","MEF","PT Medco Energi Internasional Tbk","1.84B","0.0645","-2.27%","1.98B"
"3785","0VK","Storskogen Group AB (publ)","1.84B","1.086","-1.18%","2.98B"
"3786","MJ3","Micronics Japan Co., Ltd.","1.84B","42.00","1.45%","386.28M"
"3787","SHN","Shangri-La Asia Limited","1.84B","0.494","-0.80%","1.87B"
"3788","16A","Clarivate Plc","1.83B","2.700","0.75%","2.13B"
