No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"277","6865","Flat Glass Group Co., Ltd.","39.22B","10.29","0.88%","18.08B"
"278","1033","Sinopec Oilfield Service Corporation","39.14B","0.760","-","88.93B"
"279","2590","Beijing Geekplus Technology Co., Ltd.","38.59B","28.86","6.97%","2.91B"
"280","0772","China Literature Limited","38.51B","37.94","0.64%","7.80B"
"281","1882","Haitian International Holdings Limited","38.11B","23.88","0.76%","18.77B"
"282","2367","Giant Biogene Holding Co., Ltd.","38.06B","35.82","-0.61%","6.70B"
"283","1833","Ping An Healthcare and Technology Company Limited","37.95B","17.24","-1.82%","5.72B"
"284","2617","TransThera Sciences (Nanjing), Inc.","37.90B","95.50","0.26%","-"
"285","1877","Shanghai Junshi Biosciences Co., Ltd.","37.86B","24.12","-","2.71B"
"286","0425","Minth Group Limited","37.63B","32.14","2.42%","26.68B"
"287","0868","Xinyi Glass Holdings Limited","37.60B","8.50","0.47%","23.30B"
"288","2880","Liaoning Port Co., Ltd.","37.41B","0.820","-","12.62B"
"289","3323","China National Building Material Company Limited","37.36B","4.920","-2.38%","197.28B"
"290","3668","Yancoal Australia Ltd","37.24B","27.96","0.94%","33.07B"
"291","0317","CSSC Offshore & Marine Engineering (Group) Company Limited","37.19B","14.52","-1.43%","22.98B"
"292","0659","CTF Services Limited","37.13B","8.43","2.18%","24.29B"
"293","1585","Yadea Group Holdings Ltd.","37.10B","12.21","-0.08%","36.17B"
"294","2696","Shanghai Henlius Biotech, Inc.","37.09B","68.25","1.26%","6.35B"
"295","2718","Mininglamp Technology","37.02B","256.40","3.30%","1.60B"
"296","2575","Xuanzhu Biopharmaceutical Co., Ltd.","36.59B","70.65","4.05%","35.02M"
"297","2245","Lygend Resources & Technology Co., Ltd.","36.56B","23.50","-6.97%","40.00B"
"298","0921","Hisense Home Appliances Group Co., Ltd.","36.44B","24.14","2.20%","102.40B"
"299","7618","JINGDONG Industrials, Inc.","36.42B","13.62","-4.09%","24.14B"
"300","2610","Nanshan Aluminium International Holdings Limited","36.18B","60.90","-0.98%","9.37B"
"301","0023","The Bank of East Asia, Limited","36.13B","13.68","0.22%","15.64B"
"302","3800","GCL Technology Holdings Limited","35.87B","1.080","-0.93%","13.12B"
"303","3360","Far East Horizon Limited","35.25B","7.34","-0.54%","38.70B"
"304","2889","PATEO CONNECT Technology (Shanghai) Corporation","35.22B","234.80","5.58%","3.05B"
"305","6186","China Feihe Limited","34.97B","3.970","-0.75%","21.70B"
"306","2525","Hesai Group","34.83B","224.60","5.55%","3.00B"
"307","6088","FIT Hon Teng Limited","34.76B","4.900","-1.61%","36.81B"
"308","0656","Fosun International Limited","34.54B","4.230","-2.76%","198.98B"
"309","0220","Uni-President China Holdings Ltd","34.38B","7.96","-0.13%","35.03B"
"310","2648","Anjoy Foods Group Co., Ltd.","34.36B","72.30","-2.30%","16.85B"
"311","2357","AviChina Industry & Technology Company Limited","34.28B","4.300","-0.46%","99.51B"
"312","0867","China Medical System Holdings Limited","34.19B","14.02","-0.92%","8.61B"
"313","1735","Central New Energy Holding Group Limited","33.88B","7.98","-0.50%","7.55B"
"314","1963","Bank of Chongqing Co., Ltd.","33.45B","7.49","-2.85%","11.73B"
"315","2659","Shanghai Bao Pharmaceuticals Co., Ltd.","33.12B","101.60","6.95%","51.13M"
"316","2689","Nine Dragons Paper (Holdings) Limited","33.08B","7.05","-2.08%","69.30B"
"317","6127","Joinn Laboratories(China)Co.,Ltd.","32.79B","25.68","-0.16%","1.82B"
"318","1908","C&D International Investment Group Limited","32.53B","14.52","-3.46%","158.23B"
"319","1513","Livzon Pharmaceutical Group Inc.","32.45B","29.60","-1.07%","12.95B"
"320","9606","Duality Biotherapeutics, Inc.","32.44B","359.00","-1.05%","2.38B"
"321","3858","Jiaxin International Resources Investment Limited","32.35B","70.80","2.68%","126.31M"
"322","1729","Time Interconnect Technology Limited","32.27B","16.28","1.43%","9.58B"
"323","0148","Kingboard Holdings Limited","32.01B","29.20","1.11%","44.29B"
"324","0552","China Communications Services Corporation Limited","32.00B","4.620","-0.22%","167.14B"
"325","1044","Hengan International Group Company Limited","31.99B","27.44","-0.44%","24.81B"
"326","0323","Maanshan Iron & Steel Company Limited","31.55B","2.360","-1.67%","85.11B"
"327","2866","COSCO SHIPPING Development Co., Ltd.","31.27B","1.080","-","29.86B"
"328","1548","Genscript Biotech Corporation","31.22B","14.09","-1.33%","6.50B"
"329","0683","Kerry Properties Limited","31.15B","21.46","1.80%","22.52B"
"330","0696","TravelSky Technology Limited","31.02B","10.60","-1.03%","9.51B"
