No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"181","0HB5","BNP Paribas SA","83.45B","86.84","-0.77%","40.91B"
"182","0ADF","Arm Holdings plc","83.29B","106.23","-1.53%","3.28B"
"183","0QZU","Vertex Pharmaceuticals Incorporated","83.17B","445.04","0.70%","8.72B"
"184","0J1R","HCA Healthcare, Inc.","82.45B","474.23","-2.31%","55.33B"
"185","0NRE","Enel SpA","81.19B","9.33","0.37%","67.89B"
"186","0NWF","Air Liquide S.A.","80.54B","158.70","1.67%","23.49B"
"187","SBID","State Bank of India","79.53B","114.80","0.70%","29.91B"
"188","0K0E","MercadoLibre, Inc.","79.47B","2,087.28","-0.68%","19.49B"
"189","0KEH","Brookfield Corporation","79.31B","40.90","-","57.23B"
"190","0QZH","Starbucks Corporation","79.21B","92.50","-1.72%","27.73B"
"191","0HJI","Automatic Data Processing, Inc.","78.59B","259.77","-0.46%","15.55B"
"192","0SPT","Spotify Technology S.A.","78.19B","434.90","-1.63%","14.75B"
"193","0JZU","McKesson Corporation","77.81B","840.71","0.23%","287.97B"
"194","HHPD","Hon Hai Precision Industry Co., Ltd.","77.37B","14.74","-0.54%","186.14B"
"195","0R31","Altria Group, Inc.","77.20B","61.25","-0.64%","15.00B"
"196","0QYF","Comcast Corporation","77.15B","27.73","-2.24%","91.74B"
"197","0HRS","CVS Health Corporation","77.13B","79.52","-1.12%","291.39B"
"198","0QP2","Zurich Insurance Group AG","76.62B","578.60","0.02%","50.88B"
"199","0KTI","Enbridge Inc.","76.37B","64.84","-","34.31B"
"200","0NI1","Rheinmetall AG","76.12B","1,912.00","-0.16%","9.60B"
"201","0R2J","Agnico Eagle Mines Limited","75.15B","276.66","-0.10%","7.86B"
"202","0IUC","General Dynamics Corporation","74.26B","366.49","0.33%","38.41B"
"203","GSK","GSK plc","74.14B","1,816.50","-1.71%","32.17B"
"204","0JC3","Intercontinental Exchange, Inc.","73.79B","174.66","0.78%","7.25B"
"205","0HR2","CME Group Inc.","73.41B","273.40","-0.37%","4.75B"
"206","0L8A","The Southern Company","73.01B","89.10","0.40%","21.51B"
"207","0LBP","Synopsys, Inc.","72.61B","513.44","-0.15%","5.37B"
"208","0XXV","Atlas Copco AB (publ)","72.25B","164.08","4.74%","13.54B"
"209","0K36","Moody's Corporation","71.89B","538.19","-0.22%","5.58B"
